date,game_id,game_name,country,tab,section,approved_by,final_sent_at
2026-04-08,star sailors,star sailors,,,노출 없음,eshida-ai,2026-04-08T01:25:32.780808Z
2026-04-09,star sailors,star sailors,,,노출 없음,eshida-ai,2026-04-09T01:24:50.214800Z
